year,month,tag,question_count
"2017","5","kubernetes","228"
"2017","5","reactjs","3013"
"2017","5","vue.js","707"
"2017","6","angular","4534"
"2017","6","docker","1172"
"2017","6","kubernetes","262"
"2017","6","reactjs","3030"
"2017","6","vue.js","705"
"2017","7","angular","4903"
"2017","7","docker","1083"
"2017","7","kubernetes","286"
"2017","7","reactjs","3319"
"2017","7","vue.js","767"
"2017","8","angular","5055"
"2017","8","docker","1166"
"2017","8","kubernetes","322"
"2017","8","reactjs","3289"
"2017","8","vue.js","774"
"2017","9","angular","4600"
"2017","9","docker","1207"
"2017","9","kubernetes","281"
"2017","9","reactjs","2826"
"2017","9","vue.js","876"
"2017","10","angular","4770"
"2017","10","docker","1174"
"2017","10","kubernetes","279"
"2017","10","reactjs","3149"
"2017","10","vue.js","808"
"2017","11","angular","5064"
"2017","11","docker","1160"
"2017","11","kubernetes","337"
"2017","11","reactjs","3110"
"2017","11","vue.js","867"
"2017","12","angular","4268"
"2017","12","docker","1043"
"2017","12","kubernetes","343"
"2017","12","reactjs","2827"
"2017","12","vue.js","793"
"2018","1","angular","4791"
"2018","1","docker","1201"
"2018","1","kubernetes","425"
"2018","1","reactjs","3282"
"2018","1","vue.js","852"
"2018","2","angular","4420"
"2018","2","docker","1178"
"2018","2","kubernetes","376"
"2018","2","reactjs","3252"
"2018","2","vue.js","941"
"2018","3","angular","4871"
"2018","3","docker","1379"
"2018","3","kubernetes","486"
"2018","3","reactjs","3791"
"2018","3","vue.js","1185"
"2018","4","angular","4800"
"2018","4","docker","1323"
"2018","4","kubernetes","499"
"2018","4","reactjs","3663"
"2018","4","vue.js","1131"
"2018","5","angular","5078"
"2018","5","docker","1392"
"2018","5","kubernetes","498"
"2018","5","reactjs","3905"
"2018","5","vue.js","1159"
"2018","6","angular","4774"
"2018","6","docker","1387"
"2018","6","kubernetes","531"
"2018","6","reactjs","3834"
"2018","6","vue.js","1140"
"2018","7","angular","4807"
"2018","7","docker","1462"
"2018","7","kubernetes","657"
"2018","7","reactjs","4153"
"2018","7","vue.js","1242"
